ticket_id,platform,priority,status,assigned_group,title,description,root_cause,resolution_summary,created_date,resolved_date,app_link
PBI-1023,PowerBI,Low,Resolved,Cloud Team,Gateway connection error,Visuals stuck loading indefinitely.,Gateway server under maintenance,Adjusted schema and refreshed dataset successfully.,2025-01-15 05:00:00,2025-01-16 07:00:00,https://app.powerbi.com/reports/PBI-1023
PBI-1196,PowerBI,Low,Closed,Network Ops,Report visuals not rendering,Unable to connect to on-prem data gateway.,Dataset schema mismatch,Reconfigured gateway settings and validated connectivity.,2025-01-28 17:00:00,2025-01-31 03:00:00,https://app.powerbi.com/reports/PBI-1196
CW-1004,CloudWatch,Medium,Resolved,Network Ops,Lambda timeout errors increasing,Failure trend observed across multiple Lambda executions.,Unoptimized workload placement,Increased allocated resources.,2025-01-15 18:00:00,2025-01-17 16:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1004
PBI-1134,PowerBI,Critical,Closed,Cloud Team,Report visuals not rendering,Scheduled data refresh encountered failure due to timeout.,Dataset schema mismatch,Corrected data transformation steps.,2025-01-26 10:00:00,2025-01-26 19:00:00,https://app.powerbi.com/reports/PBI-1134
TAB-1065,Tableau,Critical,In Progress,Security Ops,Slow performance on Tableau report,Scheduled extract refresh failure detected.,Incorrect join logic in data model,Updated credentials and reran extract.,2025-01-24 09:00:00,2025-01-24 17:00:00,https://tableau.example.com/views/TAB-1065
JIRA-1109,Jira,Medium,Resolved,Network Ops,VPN connection failure,Users reported service disruptions affecting business workflow.,Expired authentication token,Resolved deadlock and restarted DB instance.,2025-01-09 13:00:00,2025-01-09 23:00:00,https://jira.example.com/browse/JIRA-1109
CW-1066,CloudWatch,Medium,In Progress,DevOps,RDS free storage space critically low,Database storage reaching capacity limits.,Unbalanced traffic routing,Optimized Lambda execution time.,2025-01-20 19:00:00,2025-01-23 07:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1066
TAB-1094,Tableau,High,In Progress,DBA Team,Missing data in visualization,Scheduled extract refresh failure detected.,Tableau server CPU overload,Optimized query and reindexed table.,2025-02-09 06:00:00,2025-02-09 07:00:00,https://tableau.example.com/views/TAB-1094
TAB-1136,Tableau,Critical,Open,Security Ops,Dashboard filter not working,Scheduled extract refresh failure detected.,Tableau server CPU overload,Adjusted filter logic and republished dashboard.,2025-01-13 02:00:00,2025-01-15 02:00:00,https://tableau.example.com/views/TAB-1136
TAB-1168,Tableau,Critical,Resolved,DevOps,Permission denied on shared dashboard,Interactive filters returning empty result set.,Data source credentials expired,Adjusted filter logic and republished dashboard.,2025-01-15 04:00:00,2025-01-15 19:00:00,https://tableau.example.com/views/TAB-1168
PBI-1046,PowerBI,Critical,Open,Security Ops,Incorrect KPI values displayed,Users reported mismatched revenue numbers in dashboard.,Dataset schema mismatch,Reconfigured gateway settings and validated connectivity.,2025-01-31 00:00:00,2025-02-01 15:00:00,https://app.powerbi.com/reports/PBI-1046
TAB-1133,Tableau,Low,Open,DBA Team,Extract refresh failed,Dashboard not showing newly ingested records.,Data source credentials expired,Adjusted filter logic and republished dashboard.,2025-01-26 08:00:00,2025-01-28 21:00:00,https://tableau.example.com/views/TAB-1133
JIRA-1198,Jira,Low,Open,Helpdesk,User unable to login,Application not responding after deployment activities.,Memory leak issue,Renewed authentication certificate.,2025-01-15 06:00:00,2025-01-16 00:00:00,https://jira.example.com/browse/JIRA-1198
JIRA-1168,Jira,Medium,In Progress,Cloud Team,503 service unavailable,Users reported service disruptions affecting business workflow.,Network latency spike,Resolved deadlock and restarted DB instance.,2025-01-28 01:00:00,2025-01-28 06:00:00,https://jira.example.com/browse/JIRA-1168
PBI-1081,PowerBI,Medium,Resolved,Network Ops,Gateway connection error,Visuals stuck loading indefinitely.,Gateway authentication failure,Adjusted schema and refreshed dataset successfully.,2025-02-07 17:00:00,2025-02-10 13:00:00,https://app.powerbi.com/reports/PBI-1081
CW-1123,CloudWatch,Medium,Resolved,Cloud Team,ELB target health check failures,Monitoring detected abnormal spike in CPU usage.,Unbalanced traffic routing,Scaled instance type.,2025-01-08 17:00:00,2025-01-10 23:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1123
CW-1055,CloudWatch,Low,Open,DevOps,S3 request latency unusually high,Elevated latency impacting application performance.,Infinite loop execution,Increased allocated resources.,2025-01-01 02:00:00,2025-01-02 11:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1055
TAB-1106,Tableau,High,Closed,Security Ops,Permission denied on shared dashboard,Interactive filters returning empty result set.,Data source credentials expired,Updated credentials and reran extract.,2025-01-20 10:00:00,2025-01-22 00:00:00,https://tableau.example.com/views/TAB-1106
TAB-1031,Tableau,Critical,Closed,Helpdesk,Permission denied on shared dashboard,Scheduled extract refresh failure detected.,Incorrect join logic in data model,Optimized query and reindexed table.,2025-01-30 19:00:00,2025-02-01 16:00:00,https://tableau.example.com/views/TAB-1031
PBI-1022,PowerBI,High,Closed,Cloud Team,Slow dataset refresh performance,Visuals stuck loading indefinitely.,Gateway server under maintenance,Corrected data transformation steps.,2025-01-09 04:00:00,2025-01-10 10:00:00,https://app.powerbi.com/reports/PBI-1022
JIRA-1049,Jira,Critical,Resolved,Network Ops,High CPU usage on server,Authentication request failed repeatedly for end users.,SSL handshake failure,Optimized memory allocation and redeployed.,2025-01-09 19:00:00,2025-01-10 15:00:00,https://jira.example.com/browse/JIRA-1049
CW-1187,CloudWatch,Low,Open,Cloud Team,RDS free storage space critically low,Monitoring detected abnormal spike in CPU usage.,Unbalanced traffic routing,Increased allocated resources.,2025-01-25 11:00:00,2025-01-26 05:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1187
TAB-1157,Tableau,Medium,In Progress,Cloud Team,Missing data in visualization,Interactive filters returning empty result set.,Network throttling issue,Adjusted filter logic and republished dashboard.,2025-01-14 10:00:00,2025-01-14 11:00:00,https://tableau.example.com/views/TAB-1157
JIRA-1086,Jira,High,Open,DBA Team,User unable to login,Service unreachable due to network routing failure.,Memory leak issue,Renewed authentication certificate.,2025-02-01 11:00:00,2025-02-04 02:00:00,https://jira.example.com/browse/JIRA-1086
PBI-1145,PowerBI,Low,Open,DevOps,Slow dataset refresh performance,Unable to connect to on-prem data gateway.,Gateway authentication failure,Adjusted schema and refreshed dataset successfully.,2025-01-21 05:00:00,2025-01-24 02:00:00,https://app.powerbi.com/reports/PBI-1145
JIRA-1192,Jira,High,Open,Cloud Team,Disk space running low,System detected performance degradation across multiple nodes.,Expired authentication token,Optimized memory allocation and redeployed.,2025-01-06 19:00:00,2025-01-06 23:00:00,https://jira.example.com/browse/JIRA-1192
CW-1195,CloudWatch,High,In Progress,Helpdesk,Lambda timeout errors increasing,Monitoring detected abnormal spike in CPU usage.,High read/write operations,Optimized Lambda execution time.,2025-01-06 13:00:00,2025-01-07 05:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1195
JIRA-1033,Jira,Critical,Resolved,DevOps,Email service outage,Database query execution time exceeding normal threshold.,Database deadlock,Optimized memory allocation and redeployed.,2025-02-02 15:00:00,2025-02-03 21:00:00,https://jira.example.com/browse/JIRA-1033
JIRA-1031,Jira,High,Resolved,Helpdesk,Database timeout issue,Database query execution time exceeding normal threshold.,Expired authentication token,Restarted impacted service and cleared cache.,2025-01-27 07:00:00,2025-01-28 22:00:00,https://jira.example.com/browse/JIRA-1031
JIRA-1199,Jira,Critical,In Progress,DBA Team,Disk space running low,Users reported service disruptions affecting business workflow.,Database deadlock,Restarted impacted service and cleared cache.,2025-02-03 22:00:00,2025-02-04 10:00:00,https://jira.example.com/browse/JIRA-1199
TAB-1165,Tableau,Critical,Closed,Security Ops,Extract refresh failed,Interactive filters returning empty result set.,Tableau server CPU overload,Adjusted filter logic and republished dashboard.,2025-02-05 21:00:00,2025-02-06 17:00:00,https://tableau.example.com/views/TAB-1165
PBI-1086,PowerBI,Critical,In Progress,Cloud Team,Gateway connection error,Visuals stuck loading indefinitely.,Gateway authentication failure,Reconfigured gateway settings and validated connectivity.,2025-02-07 21:00:00,2025-02-08 23:00:00,https://app.powerbi.com/reports/PBI-1086
PBI-1194,PowerBI,Critical,In Progress,Network Ops,Incorrect KPI values displayed,Scheduled data refresh encountered failure due to timeout.,Gateway authentication failure,Corrected data transformation steps.,2025-02-08 04:00:00,2025-02-08 09:00:00,https://app.powerbi.com/reports/PBI-1194
PBI-1168,PowerBI,Critical,In Progress,DevOps,Row-level security not applied,Users reported mismatched revenue numbers in dashboard.,Dataset schema mismatch,Reconfigured gateway settings and validated connectivity.,2025-02-02 00:00:00,2025-02-02 10:00:00,https://app.powerbi.com/reports/PBI-1168
PBI-1028,PowerBI,Critical,In Progress,Cloud Team,Slow dataset refresh performance,Unable to connect to on-prem data gateway.,Dataset schema mismatch,Corrected data transformation steps.,2025-01-18 04:00:00,2025-01-20 21:00:00,https://app.powerbi.com/reports/PBI-1028
JIRA-1137,Jira,Medium,Closed,DevOps,503 service unavailable,Users reported service disruptions affecting business workflow.,Firewall misconfiguration,Renewed authentication certificate.,2025-01-01 03:00:00,2025-01-04 03:00:00,https://jira.example.com/browse/JIRA-1137
JIRA-1072,Jira,Critical,In Progress,Network Ops,User unable to login,Database query execution time exceeding normal threshold.,Database deadlock,Renewed authentication certificate.,2025-01-23 19:00:00,2025-01-26 11:00:00,https://jira.example.com/browse/JIRA-1072
JIRA-1077,Jira,High,Resolved,Helpdesk,Disk space running low,Users reported service disruptions affecting business workflow.,Firewall misconfiguration,Optimized memory allocation and redeployed.,2025-02-09 22:00:00,2025-02-10 22:00:00,https://jira.example.com/browse/JIRA-1077
PBI-1112,PowerBI,Critical,Closed,Cloud Team,Incorrect KPI values displayed,Users reported mismatched revenue numbers in dashboard.,Gateway server under maintenance,Adjusted schema and refreshed dataset successfully.,2025-02-07 12:00:00,2025-02-09 07:00:00,https://app.powerbi.com/reports/PBI-1112
CW-1183,CloudWatch,Low,Open,DBA Team,Lambda timeout errors increasing,Failure trend observed across multiple Lambda executions.,Unoptimized workload placement,Scaled instance type.,2025-01-17 00:00:00,2025-01-17 19:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1183
CW-1186,CloudWatch,High,Closed,Network Ops,Lambda timeout errors increasing,Failure trend observed across multiple Lambda executions.,Unoptimized workload placement,Increased allocated resources.,2025-01-09 06:00:00,2025-01-11 05:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1186
TAB-1075,Tableau,Low,In Progress,Cloud Team,Missing data in visualization,Users experiencing delay in loading components.,Data source credentials expired,Updated credentials and reran extract.,2025-01-15 07:00:00,2025-01-15 14:00:00,https://tableau.example.com/views/TAB-1075
TAB-1161,Tableau,Medium,Closed,Security Ops,Missing data in visualization,Scheduled extract refresh failure detected.,Tableau server CPU overload,Adjusted filter logic and republished dashboard.,2025-01-08 01:00:00,2025-01-10 00:00:00,https://tableau.example.com/views/TAB-1161
JIRA-1096,Jira,Low,Closed,DBA Team,Disk space running low,System detected performance degradation across multiple nodes.,Memory leak issue,Restarted impacted service and cleared cache.,2025-01-31 07:00:00,2025-02-02 18:00:00,https://jira.example.com/browse/JIRA-1096
CW-1041,CloudWatch,Critical,Resolved,DBA Team,S3 request latency unusually high,Elevated latency impacting application performance.,Infinite loop execution,Optimized Lambda execution time.,2025-01-12 18:00:00,2025-01-12 19:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1041
CW-1115,CloudWatch,Critical,Open,DevOps,RDS free storage space critically low,Monitoring detected abnormal spike in CPU usage.,High read/write operations,Scaled instance type.,2025-02-08 15:00:00,2025-02-10 05:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1115
TAB-1081,Tableau,High,In Progress,Network Ops,Dashboard filter not working,Interactive filters returning empty result set.,Network throttling issue,Adjusted filter logic and republished dashboard.,2025-01-27 15:00:00,2025-01-29 11:00:00,https://tableau.example.com/views/TAB-1081
TAB-1193,Tableau,Medium,In Progress,Security Ops,Tableau dashboard not refreshing,Users experiencing delay in loading components.,Network throttling issue,Optimized query and reindexed table.,2025-01-10 14:00:00,2025-01-13 04:00:00,https://tableau.example.com/views/TAB-1193
CW-1028,CloudWatch,Critical,Closed,Network Ops,ELB target health check failures,Auto-recovery event performed by AWS.,Unbalanced traffic routing,Optimized Lambda execution time.,2025-01-09 13:00:00,2025-01-10 04:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1028
CW-1008,CloudWatch,Critical,Closed,Network Ops,RDS free storage space critically low,Auto-recovery event performed by AWS.,Unbalanced traffic routing,Optimized Lambda execution time.,2025-01-01 06:00:00,2025-01-01 21:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1008
CW-1105,CloudWatch,Critical,Resolved,Cloud Team,EC2 instance restart detected,Monitoring detected abnormal spike in CPU usage.,High read/write operations,Increased allocated resources.,2025-02-04 01:00:00,2025-02-05 08:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1105
CW-1154,CloudWatch,Low,Resolved,Network Ops,S3 request latency unusually high,Auto-recovery event performed by AWS.,Unbalanced traffic routing,Increased allocated resources.,2025-01-23 09:00:00,2025-01-24 21:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1154
JIRA-1054,Jira,Medium,Open,Helpdesk,Email service outage,Authentication request failed repeatedly for end users.,SSL handshake failure,Optimized memory allocation and redeployed.,2025-01-08 23:00:00,2025-01-11 14:00:00,https://jira.example.com/browse/JIRA-1054
CW-1150,CloudWatch,Critical,In Progress,Security Ops,Lambda timeout errors increasing,Elevated latency impacting application performance.,Unbalanced traffic routing,Scaled instance type.,2025-01-12 14:00:00,2025-01-13 14:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1150
JIRA-1155,Jira,Low,Open,Cloud Team,Application crash after update,Service unreachable due to network routing failure.,Memory leak issue,Resolved deadlock and restarted DB instance.,2025-01-09 02:00:00,2025-01-09 10:00:00,https://jira.example.com/browse/JIRA-1155
PBI-1032,PowerBI,Critical,Closed,Security Ops,Row-level security not applied,Scheduled data refresh encountered failure due to timeout.,Incorrect data transformation logic,Adjusted schema and refreshed dataset successfully.,2025-01-19 13:00:00,2025-01-22 01:00:00,https://app.powerbi.com/reports/PBI-1032
JIRA-1097,Jira,Low,In Progress,Helpdesk,Email service outage,Authentication request failed repeatedly for end users.,Firewall misconfiguration,Restarted impacted service and cleared cache.,2025-02-06 07:00:00,2025-02-08 23:00:00,https://jira.example.com/browse/JIRA-1097
JIRA-1120,Jira,High,In Progress,Network Ops,High CPU usage on server,Database query execution time exceeding normal threshold.,Database deadlock,Restarted impacted service and cleared cache.,2025-02-10 13:00:00,2025-02-11 03:00:00,https://jira.example.com/browse/JIRA-1120
JIRA-1076,Jira,High,Open,DBA Team,Email service outage,Service unreachable due to network routing failure.,Expired authentication token,Resolved deadlock and restarted DB instance.,2025-01-16 16:00:00,2025-01-16 17:00:00,https://jira.example.com/browse/JIRA-1076
TAB-1004,Tableau,Medium,In Progress,Helpdesk,Tableau dashboard not refreshing,Scheduled extract refresh failure detected.,Incorrect join logic in data model,Adjusted filter logic and republished dashboard.,2025-01-02 15:00:00,2025-01-04 18:00:00,https://tableau.example.com/views/TAB-1004
TAB-1152,Tableau,Critical,Closed,Security Ops,Extract refresh failed,Dashboard not showing newly ingested records.,Network throttling issue,Updated credentials and reran extract.,2025-01-29 01:00:00,2025-01-29 06:00:00,https://tableau.example.com/views/TAB-1152
CW-1164,CloudWatch,Medium,In Progress,DevOps,S3 request latency unusually high,Auto-recovery event performed by AWS.,Infinite loop execution,Optimized Lambda execution time.,2025-01-16 03:00:00,2025-01-16 08:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1164
TAB-1008,Tableau,High,Open,DevOps,Missing data in visualization,Scheduled extract refresh failure detected.,Network throttling issue,Updated credentials and reran extract.,2025-02-01 00:00:00,2025-02-02 21:00:00,https://tableau.example.com/views/TAB-1008
